,Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
0,2018-12-20,3660.01000000,4120.00000000,3635.00000000,4049.62000000,101543.83598600,399967057.78281649,500506,52772.93316800,207803692.00369182
1,2018-12-21,4051.86000000,4139.99000000,3764.00000000,3838.66000000,82343.85011200,325803279.96266961,436187,41365.88899700,163730611.79275242
2,2018-12-22,3840.25000000,3979.00000000,3785.00000000,3948.91000000,42822.35087200,165085567.58556617,249148,22602.32408400,87158242.38930173
3,2018-12-23,3948.91000000,4021.53000000,3870.00000000,3929.71000000,40117.53152900,158756356.81762381,258417,20216.88071500,80034022.88002953
4,2018-12-24,3929.71000000,4198.00000000,3924.83000000,4008.01000000,64647.80912900,264628967.06591075,400403,33124.50869800,135645529.90615216
5,2018-12-25,4010.11000000,4020.00000000,3646.41000000,3745.79000000,62725.62943200,235584302.95256106,356377,31541.97627200,118404280.49768580
6,2018-12-26,3745.56000000,3837.15000000,3656.74000000,3777.74000000,42629.37581700,159705204.50415568,267746,22292.21984500,83539027.82848030
7,2018-12-27,3777.74000000,3813.98000000,3535.00000000,3567.91000000,44097.39291200,161915849.87310502,262733,22249.47382400,81803859.05606579
8,2018-12-28,3567.89000000,3887.25000000,3540.04000000,3839.26000000,45964.30498700,170638519.24727850,251040,24449.92465300,90747704.90251859
9,2018-12-29,3839.00000000,3892.00000000,3670.00000000,3695.32000000,38874.37390300,148205200.10773722,244844,19522.19304600,74500753.17536026
10,2018-12-30,3696.71000000,3903.50000000,3657.90000000,3801.91000000,33222.36926200,124966229.52022896,218929,17427.34228500,65587964.90351099
11,2018-12-31,3803.12000000,3810.00000000,3630.33000000,3702.90000000,29991.77835000,111847216.11708208,190308,15523.79613400,57912258.76286516
12,2019-01-01,3701.23000000,3810.16000000,3642.00000000,3797.14000000,23741.68703300,88149249.09230461,154227,12919.15589900,47973435.86685800
13,2019-01-02,3796.45000000,3882.14000000,3750.45000000,3858.56000000,35156.46336900,133876627.24651060,218538,17921.60011400,68277897.66105788
14,2019-01-03,3857.57000000,3862.74000000,3730.00000000,3766.78000000,29406.94835900,111657372.69526468,199812,14793.08326700,56172495.42692984
15,2019-01-04,3767.20000000,3823.64000000,3703.57000000,3792.01000000,29519.55467100,111034550.64066196,192232,15579.30325800,58616203.97789647
16,2019-01-05,3790.09000000,3840.99000000,3751.00000000,3770.96000000,30490.66775100,115893501.27515878,203673,14908.91417500,56667455.38615935
17,2019-01-06,3771.12000000,4027.71000000,3740.00000000,3987.60000000,36553.80670900,142198812.18914709,240496,19772.88700800,76903705.93007119
18,2019-01-07,3987.62000000,4017.90000000,3921.53000000,3975.45000000,31869.84626400,126830380.49287239,221219,16404.35224100,65287611.65056139
19,2019-01-08,3976.76000000,4069.80000000,3903.00000000,3955.13000000,38901.42312200,154778846.54236616,242898,20047.97760100,79781104.89538665
20,2019-01-09,3955.45000000,4006.81000000,3930.04000000,3966.65000000,28989.43951100,115218950.31554872,209240,14984.33702000,59559010.74523400
21,2019-01-10,3966.06000000,3996.01000000,3540.00000000,3585.88000000,59402.22851000,221789348.03469807,374760,28288.32257400,105616252.06340843
22,2019-01-11,3585.88000000,3658.00000000,3465.00000000,3601.31000000,38338.65473300,137560743.62485982,264996,19907.35058600,71430015.64522145
23,2019-01-12,3601.31000000,3618.19000000,3530.00000000,3583.13000000,21999.92835400,78908770.67658037,175679,11645.59884600,41778835.50680978
24,2019-01-13,3584.10000000,3611.10000000,3441.30000000,3476.81000000,26385.75745400,92882249.46737902,183113,13692.42064000,48229503.01532720
25,2019-01-14,3477.56000000,3671.87000000,3467.02000000,3626.09000000,35235.21121500,125631820.06705057,229452,18416.41690200,65668831.10400985
26,2019-01-15,3626.08000000,3648.42000000,3516.62000000,3553.06000000,34137.99745900,122785440.22887539,231684,17225.62243400,61971796.91256990
27,2019-01-16,3553.06000000,3645.00000000,3543.51000000,3591.84000000,27480.17997700,98504455.20666535,205159,14183.69988000,50843136.81523343
28,2019-01-17,3591.84000000,3634.70000000,3530.39000000,3616.21000000,29755.44083800,106709136.97324342,217797,16010.50339500,57427195.93767381
29,2019-01-18,3613.32000000,3620.00000000,3565.75000000,3594.87000000,22713.44675500,81699723.54479144,177567,12611.08375700,45362975.23668103
30,2019-01-19,3594.87000000,3720.00000000,3594.23000000,3665.30000000,22171.57812300,81354185.90325992,175054,11637.25817100,42690540.30785225
31,2019-01-20,3665.75000000,3693.73000000,3475.00000000,3539.28000000,27901.93859800,99767239.95381454,204941,13875.11138100,49633530.63808028
32,2019-01-21,3539.26000000,3559.51000000,3475.50000000,3526.90000000,19644.43683900,69316548.76685554,160825,10462.02027800,36918177.63501831
33,2019-01-22,3526.88000000,3608.50000000,3434.85000000,3570.93000000,29336.44296700,103804480.11605988,195484,15661.33300100,55461347.69397660
34,2019-01-23,3570.41000000,3607.98000000,3514.50000000,3552.82000000,24938.84269800,88816396.34583544,192892,13136.69325300,46789527.00878810
35,2019-01-24,3552.97000000,3589.00000000,3529.22000000,3569.62000000,20826.25118000,74037052.86632736,162159,10975.97457000,39023591.88152408
36,2019-01-25,3569.07000000,3587.15000000,3522.51000000,3565.29000000,17608.34667100,62634926.45524528,153413,9690.39815200,34473989.38670668
37,2019-01-26,3566.69000000,3662.94000000,3545.00000000,3565.25000000,19476.53234400,69841766.64693149,135369,10203.40031500,36578851.51879908
38,2019-01-27,3565.62000000,3579.00000000,3486.00000000,3550.84000000,22735.59816200,80743416.84653682,163855,11568.56739900,41100311.44740031
39,2019-01-28,3550.05000000,3557.75000000,3380.27000000,3434.15000000,40405.11140100,139258708.76430879,260799,20334.27173900,70100390.81728584
40,2019-01-29,3434.00000000,3443.45000000,3349.92000000,3411.04000000,29544.92897700,100542807.46479908,189650,15626.31123100,53180295.18051735
41,2019-01-30,3410.04000000,3478.00000000,3387.10000000,3458.18000000,23968.26024300,82521122.86191754,180820,13324.33962800,45877250.05787340
42,2019-01-31,3457.50000000,3489.20000000,3418.80000000,3434.10000000,29607.19025300,101928346.97699686,198100,15325.82878300,52764623.95051864
43,2019-02-01,3434.10000000,3488.00000000,3401.20000000,3462.07000000,25260.47615900,87075914.23266830,167520,13533.34462800,46664199.94907889
44,2019-02-02,3462.20000000,3526.40000000,3440.29000000,3504.77000000,17920.80200000,62134037.97539881,153234,9637.41923000,33417963.69624554
45,2019-02-03,3504.06000000,3511.09000000,3426.00000000,3458.11000000,19867.33639000,68801620.06241606,138592,10126.71614300,35070884.46205618
46,2019-02-04,3458.11000000,3484.88000000,3433.31000000,3463.22000000,23131.98110800,80024258.22766613,155686,12387.10978100,42856551.66874073
47,2019-02-05,3463.22000000,3478.97000000,3448.43000000,3471.59000000,25264.41503000,87491347.06381486,162066,13642.82308400,47248405.24357039
48,2019-02-06,3471.57000000,3482.72000000,3380.00000000,3405.37000000,35310.24484600,120500703.00515730,207024,18054.00834700,61609674.49994292
49,2019-02-07,3407.00000000,3426.45000000,3390.00000000,3398.40000000,18665.53863800,63611505.78657223,148209,9971.89096000,33985909.98028422
50,2019-02-08,3398.40000000,3733.58000000,3373.10000000,3659.04000000,47968.05801300,170118212.46197886,277242,25500.97034500,90453750.95066435
51,2019-02-09,3660.27000000,3680.02000000,3625.13000000,3665.18000000,24759.83371900,90488500.06766240,192209,13208.14275000,48274378.26417207
52,2019-02-10,3665.18000000,3684.99000000,3609.76000000,3680.06000000,23250.60263400,84696423.96233752,171099,12445.22054600,45337811.06485932
53,2019-02-11,3679.75000000,3684.90000000,3615.53000000,3631.05000000,24954.61457100,90731831.90427426,172626,12713.19166600,46221559.64321214
54,2019-02-12,3631.05000000,3667.60000000,3582.34000000,3631.46000000,29479.59823000,106766439.99436474,198996,14986.11962900,54283275.96877608
55,2019-02-13,3631.51000000,3670.00000000,3591.75000000,3609.40000000,25773.99764800,93350740.94830574,167690,13552.84642000,49100779.82827613
56,2019-02-14,3608.34000000,3626.40000000,3568.11000000,3590.56000000,21753.50126100,78367545.57945933,155215,11271.17502000,40602592.45976747
57,2019-02-15,3590.57000000,3653.23000000,3573.45000000,3602.47000000,20777.87289900,74938358.18352868,151256,10840.39689500,39106496.49706577
58,2019-02-16,3602.49000000,3648.20000000,3597.91000000,3618.41000000,19565.99275100,70894921.80761533,149393,10452.11973000,37873280.57143865
59,2019-02-17,3617.22000000,3700.11000000,3604.40000000,3667.58000000,25690.22777900,93426433.13226133,179511,13004.16467600,47317986.79403941
