,BTCUSDT,XMRUSDT,AAVEUSDT,DOTUSDT,CRVUSDT,LTCUSDT,SOLUSDT,UNIUSDT,TRXUSDT,BNBUSDT,ADAUSDT,EOSUSDT,DOGEUSDT,MATICUSDT,ETHUSDT
2022-12-03 00:00:00,16885.20000000,145.30000000,62.80000000,5.49000000,0.63500000,76.47000000,13.29000000,6.10000000,0.05358000,290.40000000,0.31960000,0.92200000,0.09970000,0.90290000,1240.51000000
2022-12-04 00:00:00,17105.70000000,142.20000000,64.40000000,5.59000000,0.67000000,77.07000000,13.71000000,6.27000000,0.05309000,291.80000000,0.32210000,0.93000000,0.10406000,0.92120000,1279.41000000
2022-12-05 00:00:00,16966.35000000,145.10000000,64.40000000,5.48000000,0.67500000,80.19000000,13.82000000,6.17000000,0.05334000,288.40000000,0.31930000,0.93100000,0.10149000,0.91160000,1259.41000000
2022-12-06 00:00:00,17088.96000000,143.40000000,64.00000000,5.50000000,0.67900000,79.88000000,14.30000000,6.18000000,0.05364000,290.20000000,0.31830000,0.95800000,0.10019000,0.91760000,1271.32000000
2022-12-07 00:00:00,16836.64000000,143.90000000,61.40000000,5.29000000,0.65200000,76.89000000,13.49000000,6.00000000,0.05312000,284.20000000,0.31020000,0.98900000,0.09575000,0.89730000,1231.18000000
2022-12-08 00:00:00,17224.10000000,147.60000000,62.80000000,5.42000000,0.66700000,78.27000000,13.69000000,6.19000000,0.05448000,290.40000000,0.31450000,0.99500000,0.09847000,0.92760000,1280.18000000
2022-12-09 00:00:00,17128.56000000,149.20000000,61.50000000,5.30000000,0.64500000,76.31000000,13.59000000,6.17000000,0.05464000,286.00000000,0.31180000,1.03200000,0.09670000,0.90970000,1263.10000000
2022-12-10 00:00:00,17127.49000000,149.70000000,61.40000000,5.27000000,0.63800000,76.36000000,13.58000000,6.08000000,0.05483000,288.20000000,0.31260000,1.03400000,0.09632000,0.90820000,1266.35000000
2022-12-11 00:00:00,17085.05000000,150.60000000,59.60000000,5.17000000,0.62900000,76.50000000,13.42000000,5.92000000,0.05397000,284.40000000,0.30740000,1.00400000,0.09266000,0.89220000,1263.01000000
2022-12-12 00:00:00,17209.83000000,150.60000000,60.10000000,5.17000000,0.61900000,76.23000000,13.31000000,5.92000000,0.05352000,276.10000000,0.30690000,0.98200000,0.09029000,0.91070000,1275.40000000
2022-12-13 00:00:00,17774.70000000,151.60000000,62.00000000,5.28000000,0.65600000,77.39000000,13.89000000,6.11000000,0.05450000,272.20000000,0.31420000,1.00100000,0.09105000,0.92440000,1320.69000000
2022-12-14 00:00:00,17803.15000000,148.80000000,62.60000000,5.21500000,0.64600000,75.30000000,14.12000000,5.90800000,0.05558000,267.70000000,0.30790000,0.97700000,0.08824000,0.90260000,1307.44000000
2022-12-15 00:00:00,17356.34000000,149.10000000,60.90000000,5.23000000,0.61800000,72.42000000,14.04000000,5.79900000,0.05577000,258.80000000,0.30030000,0.95600000,0.08485000,0.87870000,1266.54000000
2022-12-16 00:00:00,16632.12000000,142.00000000,54.80000000,4.65200000,0.54600000,66.25000000,12.25000000,5.30000000,0.05292000,231.20000000,0.26320000,0.87300000,0.07569000,0.79530000,1166.83000000
2022-12-17 00:00:00,16776.52000000,143.40000000,55.50000000,4.70800000,0.56000000,64.89000000,12.51000000,5.38600000,0.05486000,242.10000000,0.26720000,0.89100000,0.07919000,0.81560000,1187.16000000
2022-12-18 00:00:00,16738.21000000,144.00000000,55.80000000,4.65700000,0.54900000,64.37000000,12.38000000,5.32800000,0.05378000,251.00000000,0.26590000,0.88200000,0.07847000,0.81260000,1183.06000000
2022-12-19 00:00:00,16438.88000000,143.80000000,53.70000000,4.48100000,0.51700000,63.37000000,11.94000000,5.09000000,0.05356000,240.40000000,0.25290000,0.84800000,0.07133000,0.77370000,1167.82000000
2022-12-20 00:00:00,16895.56000000,146.80000000,55.70000000,4.60500000,0.52800000,65.55000000,12.26000000,5.36200000,0.05497000,251.40000000,0.25870000,0.88900000,0.07483000,0.80120000,1216.94000000
2022-12-21 00:00:00,16824.67000000,147.20000000,56.00000000,4.48500000,0.51800000,65.40000000,12.14000000,5.32200000,0.05492000,246.20000000,0.25340000,0.88900000,0.07374000,0.79380000,1213.78000000
2022-12-22 00:00:00,16821.43000000,145.30000000,55.70000000,4.53100000,0.52400000,66.21000000,11.82000000,5.37200000,0.05554000,245.80000000,0.25660000,0.88800000,0.07685000,0.79660000,1217.71000000
2022-12-23 00:00:00,16778.50000000,143.10000000,54.60000000,4.47300000,0.52700000,65.75000000,11.78000000,5.26500000,0.05423000,246.20000000,0.25940000,0.88500000,0.07721000,0.79910000,1219.99000000
2022-12-24 00:00:00,16836.12000000,143.40000000,54.40000000,4.45200000,0.52400000,65.76000000,11.45000000,5.20200000,0.05473000,244.50000000,0.25920000,0.88100000,0.07752000,0.79580000,1220.41000000
2022-12-25 00:00:00,16832.11000000,145.10000000,54.40000000,4.49200000,0.52100000,69.15000000,11.38000000,5.16100000,0.05481000,243.20000000,0.25910000,0.87800000,0.07598000,0.79500000,1218.51000000
2022-12-26 00:00:00,16919.39000000,146.70000000,56.00000000,4.57100000,0.53600000,70.78000000,11.32000000,5.20300000,0.05459000,244.30000000,0.26520000,0.88800000,0.07568000,0.81540000,1228.11000000
2022-12-27 00:00:00,16706.36000000,145.60000000,57.50000000,4.47800000,0.52900000,68.67000000,11.09000000,5.19300000,0.05415000,246.70000000,0.26030000,0.89600000,0.07372000,0.80630000,1211.55000000
2022-12-28 00:00:00,16547.31000000,146.80000000,53.80000000,4.28600000,0.50900000,66.32000000,9.76000000,4.97000000,0.05416000,244.50000000,0.24820000,0.87100000,0.07040000,0.78270000,1190.15000000
2022-12-29 00:00:00,16633.47000000,145.60000000,54.50000000,4.30900000,0.51100000,66.66000000,9.64000000,5.04800000,0.05402000,246.30000000,0.24400000,0.86500000,0.07094000,0.77690000,1200.49000000
2022-12-30 00:00:00,16607.48000000,145.90000000,52.40000000,4.32400000,0.52800000,67.94000000,9.90000000,5.09800000,0.05439000,245.80000000,0.24580000,0.86300000,0.06840000,0.76120000,1199.99000000
2022-12-31 00:00:00,16542.40000000,147.30000000,52.00000000,4.30900000,0.52400000,70.14000000,9.97000000,5.16600000,0.05450000,246.30000000,0.24580000,0.86200000,0.07025000,0.75830000,1196.13000000
2023-01-01 00:00:00,16616.75000000,148.50000000,52.20000000,4.37100000,0.52700000,70.91000000,9.99000000,5.24800000,0.05481000,244.40000000,0.24990000,0.87900000,0.07024000,0.76030000,1200.34000000
2023-01-02 00:00:00,16672.87000000,147.80000000,53.00000000,4.49200000,0.53300000,74.74000000,11.28000000,5.37100000,0.05517000,245.20000000,0.25380000,0.88200000,0.07140000,0.78090000,1214.00000000
2023-01-03 00:00:00,16675.18000000,148.40000000,53.00000000,4.52600000,0.53000000,75.57000000,13.37000000,5.37900000,0.05483000,246.10000000,0.25290000,0.88000000,0.07049000,0.77980000,1214.55000000
2023-01-04 00:00:00,16850.36000000,150.90000000,56.90000000,4.63200000,0.55400000,75.46000000,13.43000000,5.53200000,0.05477000,258.90000000,0.26780000,0.90700000,0.07311000,0.80680000,1256.90000000
2023-01-05 00:00:00,16831.85000000,156.10000000,55.40000000,4.62000000,0.54300000,74.25000000,13.43000000,5.37700000,0.05374000,256.70000000,0.26920000,0.89200000,0.07152000,0.78900000,1251.24000000
2023-01-06 00:00:00,16950.65000000,154.80000000,56.40000000,4.68400000,0.54600000,75.91000000,13.50000000,5.52000000,0.05249000,259.90000000,0.27860000,0.89500000,0.07241000,0.79920000,1269.14000000
2023-01-07 00:00:00,16943.57000000,155.90000000,56.00000000,4.66400000,0.55000000,76.40000000,13.10000000,5.41400000,0.05201000,261.30000000,0.27680000,0.89100000,0.07219000,0.80630000,1264.07000000
2023-01-08 00:00:00,17127.83000000,155.30000000,59.30000000,4.82600000,0.57700000,78.68000000,14.45000000,5.58000000,0.05439000,274.90000000,0.29740000,0.91100000,0.07363000,0.84070000,1290.16000000
2023-01-09 00:00:00,17178.26000000,158.70000000,61.10000000,4.88700000,0.64100000,81.62000000,16.25000000,5.79000000,0.05461000,272.60000000,0.31680000,0.93600000,0.07566000,0.84260000,1320.39000000
2023-01-10 00:00:00,17440.66000000,161.20000000,61.90000000,4.92000000,0.65000000,80.83000000,16.20000000,5.78100000,0.05486000,277.10000000,0.32220000,0.94700000,0.07782000,0.85850000,1335.62000000
2023-01-11 00:00:00,17943.26000000,168.70000000,64.20000000,5.13500000,0.67100000,84.08000000,16.36000000,5.91900000,0.05652000,284.80000000,0.32300000,0.97800000,0.07814000,0.89140000,1389.39000000
2023-01-12 00:00:00,18846.62000000,166.60000000,67.80000000,5.23200000,0.68600000,86.09000000,16.59000000,6.18100000,0.05710000,287.70000000,0.32930000,0.99000000,0.08025000,0.91520000,1415.92000000
2023-01-13 00:00:00,19930.01000000,170.60000000,71.10000000,5.40100000,0.80400000,86.23000000,18.29000000,6.30700000,0.06010000,293.70000000,0.34560000,1.01200000,0.08450000,0.93040000,1451.20000000
2023-01-14 00:00:00,20954.92000000,175.10000000,75.90000000,6.02600000,0.81200000,87.84000000,24.24000000,6.62100000,0.06177000,305.10000000,0.35250000,1.05200000,0.08729000,0.99810000,1549.90000000
2023-01-15 00:00:00,20871.50000000,174.40000000,79.20000000,5.92900000,0.83200000,87.37000000,22.89000000,6.59200000,0.06231000,302.20000000,0.35070000,1.06300000,0.08608000,0.98310000,1552.52000000
2023-01-16 00:00:00,21185.65000000,168.00000000,80.50000000,5.81200000,0.87900000,85.91000000,23.58000000,6.54000000,0.06242000,299.00000000,0.35040000,1.03700000,0.08368000,1.01950000,1576.94000000
